id,Moneda,Precio,Dormitorios,Banos,Superficie_m2,Direccion,Comuna
93,UF,2500,2,1,53.0,Parque Almagro,Santiago
94,UF,3550,2,2,58.0,Santa Isabel,Santiago
95,UF,4350,4,2,137.0,Parque Almagro,Santiago
96,UF,2200,1,1,33.0,Parque Los Reyes,Santiago
97,UF,2100,1,1,42.0,Centro Histórico De Santiago,Santiago
98,UF,1890,1,1,38.0,Centro Histórico De Santiago,Santiago
99,UF,2761,2,2,41.0,Santa Isabel,Santiago
100,UF,1885,1,1,30.0,San Diego,Santiago
101,UF,2740,2,2,50.0,Centro Histórico De Santiago,Santiago
102,UF,1980,2,1,37.0,Parque O'Higgins,Santiago
103,UF,3990,2,2,53.0,Franklin - Biobío,Santiago
104,UF,1178,1,1,20.0,Parque O'Higgins,Santiago
105,$,78000000,2,2,58.0,Parque Los Reyes,Santiago
106,UF,2800,1,1,51.0,Centro Histórico De Santiago,Santiago
107,UF,2350,1,1,38.0,Barrio Diez De Julio,Santiago
108,UF,3100,1,1,31.0,Santa Isabel,Santiago
109,UF,1850,1,1,33.0,Centro Histórico De Santiago,Santiago
110,UF,2950,3,2,75.0,Centro Histórico De Santiago,Santiago
111,$,125000000,4,2,89.0,Barrio Brasil,Santiago
112,UF,2640,2,2,45.0,Bulnes,Santiago
113,UF,1850,1,1,30.0,Santa Isabel,Santiago
114,UF,3950,2,2,61.0,Bogotá - Sierra Bella,Santiago
115,UF,1790,1,1,37.0,Ejército - Toesca,Santiago
116,UF,2900,2,1,48.0,Santa Isabel,Santiago
117,$,122000000,3,2,87.0,Centro Histórico De Santiago,Santiago
118,UF,2980,2,2,61.0,Centro Histórico De Santiago,Santiago
119,UF,3600,3,2,64.0,Santa Isabel,Santiago
120,UF,2150,1,1,33.0,Bogotá - Sierra Bella,Santiago
121,UF,2950,1,1,38.0,Barrio Lastarria,Santiago
122,UF,2810,2,2,48.0,Santia... | UF | 2.810 | 2 dormitorios | 2 baños | 48 m² útiles | Bulnes,Santiago
123,UF,15188,6,7,354.0,Barrio Lastarria,Santiago
124,UF,1950,1,1,31.0,Santa Isabel,Santiago
125,UF,1700,1,1,37.0,San Diego,Santiago
126,UF,3400,3,2,74.0,Santa Isabel,Santiago
127,UF,2500,3,2,60.0,Barrio Brasil,Santiago
128,UF,1850,1,1,30.0,Barrio República,Santiago
129,UF,2210,2,2,51.0,Barrio Diez De Julio,Santiago
130,UF,3790,3,2,65.0,Santa Isabel,Santiago
131,UF,3825,3,2,75.0,Santa Isabel,Santiago
132,$,107000000,2,2,44.0,Santa Isabel,Santiago
133,$,110000000,3,2,56.0,Centro Histórico De Santiago,Santiago
134,UF,1390,1,1,29.0,San Diego,Santiago
135,UF,2690,2,2,64.0,Bulnes,Santiago
136,UF,4200,3,2,64.0,Santa Isabel,Santiago
137,UF,2650,2,2,55.0,Centro Histórico De Santiago,Santiago
138,UF,1450,1,1,25.0,Bulnes,Santiago
139,UF,1980,2,1,42.0,Parque O'Higgins,Santiago
140,UF,1800,1,1,40.0,Barrio Diez De Julio,Santiago
141,UF,2750,2,1,43.0,Santa Isabel,Santiago
142,UF,2500,2,2,50.0,Santa Isabel,Santiago
143,UF,2589,1,1,52.0,Centro Histórico De Santiago,Santiago
144,UF,1904,2,1,39.0,Parque O'Higgins,Santiago
145,UF,4050,3,2,80.0,Ejército - Toesca,Santiago
146,UF,1786,1,1,31.0,San Diego,Santiago
147,UF,16100,4,3,243.0,Barrio Lastarria,Santiago
148,UF,1800,1,1,38.0,Bulnes,Santiago
149,UF,1800,1,1,40.0,Barrio Diez De Julio,Santiago
150,$,105000000,2,2,55.0,Santa Isabel,Santiago
151,$,65000000,3,1,50.0,Parque Los Reyes,Santiago
152,UF,1500,1,1,20.0,San Diego,Santiago
153,UF,2056,1,1,26.0,Centro Histórico De Santiago,Santiago
154,UF,1650,1,1,30.0,Barrio Diez De Julio,Santiago
155,UF,4200,2,2,57.0,Barrio Diez De Julio,Santiago
156,UF,1600,1,1,28.0,Bulnes,Santiago
157,UF,3200,2,2,68.0,Barrio Diez De Julio,Santiago
158,$,62000000,1,1,35.0,Centro Histórico De Santiago,Santiago
159,$,120000000,2,2,57.0,Santa Isabel,Santiago
160,$,100000000,3,2,60.0,Barrio Yungay,Santiago
161,UF,4000,5,2,120.0,Centro Histórico De Santiago,Santiago
162,UF,3300,2,2,50.0,Barrio República,Santiago
163,UF,850,2,2,60.0,Bogotá - Sierra Bella,Santiago
164,UF,2606,2,1,50.0,Barrio San Borja,Santiago
165,UF,3300,2,2,60.0,Santa Isabel,Santiago
166,UF,3050,2,2,59.0,Centro Histórico De Santiago,Santiago
167,UF,3100,2,2,55.0,Centro Histórico De Santiago,Santiago
168,UF,3476,2,2,58.0,Barrio Yungay,Santiago
169,UF,2500,1,1,35.0,Bulnes,Santiago
170,UF,2000,1,1,28.0,Barrio Diez De Julio,Santiago
171,UF,2800,2,1,70.0,Santa Isabel,Santiago
172,UF,2675,1,1,34.0,Parque Almagro,Santiago
173,UF,3250,2,2,60.0,Centro Histórico De Santiago,Santiago
174,UF,5990,4,2,124.0,Centro Histórico De Santiago,Santiago
175,UF,1999,1,1,44.0,Santa Isabel,Santiago
176,UF,2752,1,1,38.0,Santa Isabel,Santiago
177,UF,3000,2,2,53.0,Dieciocho,Santiago
178,UF,3150,2,2,58.0,Parque Los Reyes,Santiago
179,UF,1950,2,1,40.0,Parque O'Higgins,Santiago
180,UF,3000,2,2,41.0,Barrio Brasil,Santiago
181,UF,2441,1,1,36.0,Bogotá - Sierra Bella,Santiago
182,UF,1950,1,1,38.0,Parque Almagro,Santiago
183,UF,2050,1,1,43.0,Centro Histórico De Santiago,Santiago
184,UF,1730,1,1,30.0,Santa Isabel,Santiago
185,$,65000000,1,1,30.0,Barrio Diez De Julio,Santiago
186,UF,1350,1,1,24.0,Barrio Brasil,Santiago
187,UF,2500,2,1,60.0,Santa Isabel,Santiago
188,UF,3600,2,2,56.0,Santa Isabel,Santiago
189,UF,2385,2,2,49.0,Parque Almagro,Santiago
190,UF,1350,2,1,38.0,Parque O'Higgins,Santiago
191,UF,1380,1,1,25.0,Centro Histórico De Santiago,Santiago
192,UF,2403,1,1,32.0,Santa Isabel,Santiago
193,UF,4500,2,2,75.0,Barrio Lastarria,Santiago
194,UF,2050,1,1,30.0,Bulnes,Santiago
195,$,155000000,3,2,70.0,Santa Isabel,Santiago
196,UF,4400,2,2,56.0,Ejército - Toesca,Santiago
197,$,85000000,2,1,60.0,Barrio Brasil,Santiago
198,UF,1850,1,1,32.0,Barrio Yungay,Santiago
199,$,65000000,1,1,60.0,Barrio Yungay,Santiago
200,UF,2100,2,2,52.0,Centro Histórico De Santiago,Santiago
201,UF,2350,1,1,42.0,Centro Histórico De Santiago,Santiago
202,UF,1250,1,1,32.0,San Diego,Santiago
203,UF,2790,2,2,55.0,Parque O'Higgins,Santiago
204,UF,2370,2,2,54.0,Santa Isabel,Santiago
205,UF,3952,3,2,100.0,Centro Histórico De Santiago,Santiago
206,UF,3500,3,2,76.0,Santa Isabel,Santiago
207,UF,3987,3,2,78.0,Barrio Yungay,Santiago
208,UF,2318,2,2,49.0,Barrio Yungay,Santiago
209,$,76000000,1,1,31.0,Santa Isabel,Santiago
210,UF,2350,3,2,49.0,Bulnes,Santiago
211,UF,3400,2,2,46.0,Parque Los Reyes,Santiago
212,UF,2200,1,1,34.0,Parque O'Higgins,Santiago
213,UF,2710,2,1,60.0,Meiggs,Santiago
214,UF,3200,3,2,69.0,Meiggs,Santiago
215,UF,2990,1,1,28.0,Ejército - Toesca,Santiago
216,UF,3870,2,1,37.0,Ejército - Toesca,Santiago
217,UF,1950,1,1,32.0,Bulnes,Santiago
218,UF,3125,2,2,46.0,Parque Los Reyes,Santiago
219,UF,1580,1,1,29.0,Bulnes,Santiago
220,UF,2202,1,1,19.0,Ejército - Toesca,Santiago
221,$,90000000,2,1,46.0,San Diego,Santiago
222,UF,2900,2,2,48.0,Santa Isabel,Santiago
223,UF,2150,2,1,43.0,Barrio Brasil,Santiago
224,UF,1800,1,1,27.0,Centro Histórico De Santiago,Santiago
225,UF,1800,1,1,28.0,Centro Histórico De Santiago,Santiago
226,UF,1800,1,1,28.0,Centro Histórico De Santiago,Santiago
227,UF,2700,1,1,35.0,Barrio República,Santiago
228,UF,1970,1,1,34.0,Santa Isabel,Santiago
229,UF,1845,1,1,34.0,Santa Isabel,Santiago
230,UF,2390,2,1,41.0,Barrio República,Santiago
231,$,77000000,2,1,40.0,Bulnes,Santiago
232,UF,2450,2,1,52.0,Santa Isabel,Santiago
233,UF,1600,1,1,31.0,Santa Isabel,Santiago
234,UF,1900,2,1,44.0,Centro Histórico De Santiago,Santiago
235,UF,3500,2,2,58.0,Bulnes,Santiago
236,UF,1500,1,1,27.0,Bulnes,Santiago
237,UF,1470,1,1,30.0,Parque O'Higgins,Santiago
238,UF,1500,1,1,22.0,Parque Almagro,Santiago
239,UF,1750,1,1,28.0,Parque O'Higgins,Santiago
240,UF,3800,2,2,59.0,Santa Isabel,Santiago
241,UF,1750,1,1,28.0,Parque O'Higgins,Santiago
242,UF,1650,1,1,32.0,Bulnes,Santiago
243,UF,3100,1,1,40.0,Parque O'Higgins,Santiago
244,UF,3350,3,2,70.0,Parque Almagro,Santiago
245,$,82500000,1,1,40.0,Ejército - Toesca,Santiago
246,UF,3345,3,2,70.0,Parque Almagro,Santiago
247,UF,1600,1,1,30.0,Ejército - Toesca,Santiago
248,UF,3100,3,2,55.0,Centro Histórico De Santiago,Santiago
249,UF,3777,4,2,109.0,Barrio San Borja,Santiago
250,UF,1500,1,1,26.0,Centro Histórico De Santiago,Santiago
251,UF,2490,1,1,38.0,Centro Histórico De Santiago,Santiago
252,UF,2090,1,1,38.0,Santa Isabel,Santiago
253,UF,1660,1,1,26.0,Centro Histórico De Santiago,Santiago
254,UF,17000,7,4,255.0,Barrio Lastarria,Santiago
255,UF,1532,1,1,32.0,Centro Histórico De Santiago,Santiago
256,UF,2560,2,2,51.0,Departamento en venta | Departamento Estilo Mariposa / Estación Metro Toesca | Por Engel & Völkers Ñuñoa | UF | 2.560 | 2 dormitorios | 2 baños | 51 m² útiles | Parque Almagro,Santiago
257,UF,4000,2,2,50.0,Estación De Metro Santa Lucía. | Por Engel & Völkers Ñuñoa | UF | 4.000 | 2 dormitorios | 2 baños | 50 m² útiles | Barrio San Borja,Santiago
258,UF,2185,1,1,33.0,Centro Histórico De Santiago,Santiago
259,UF,1800,1,1,30.0,Parque Almagro,Santiago
260,UF,2500,2,2,54.0,Santa Isabel,Santiago
